appid,genre_ids,release_date,platforms
730,"['1', '37']","21 Aug, 2012","[1, 0, 1]"
570,"['1', '2', '37']","9 Jul, 2013","[1, 1, 1]"
578080,"['1', '25', '29', '37']","21 Dec, 2017","[1, 0, 0]"
2507950,"['1', '25', '29', '37']","4 Dec, 2024","[1, 0, 0]"
1172470,"['1', '25', '37']","4 Nov, 2020","[1, 0, 0]"
1030300,"['1', '25', '23']","4 Sep, 2025","[1, 1, 1]"
3419430,"['4', '23', '29', '28', '37']","5 Mar, 2025","[1, 0, 0]"
1203220,"['1', '25', '29']","11 Aug, 2021","[1, 0, 0]"
431960,"['4', '23', '51', '53', '55', '57']","16 Nov, 2018","[1, 0, 0]"
1285190,"['1', '25', '3']","11 Sep, 2025","[1, 0, 0]"
2694490,"['1', '25', '29', '3', '70']","6 Dec, 2024","[1, 0, 0]"
2923300,"['25', '4', '28', '2', '37']","23 Apr, 2024","[1, 0, 1]"
252490,"['1', '25', '23', '29', '3']","8 Feb, 2018","[1, 1, 0]"
413150,"['23', '3', '28']","26 Feb, 2016","[1, 1, 1]"
3008130,"['1', '25', '3']","18 Sep, 2025","[1, 0, 0]"
271590,"['1', '25']","13 Apr, 2015","[1, 0, 0]"
236390,"['1', '29', '28', '37']","15 Aug, 2013","[1, 1, 1]"
2622380,"['1', '3']","29 May, 2025","[1, 0, 0]"
322330,"['1', '25', '23', '3', '28', '2']","21 Apr, 2016","[1, 1, 1]"
3354750,"['1', '18', '37', '70']","16 Sep, 2025","[1, 0, 0]"
3240220,"['1', '25', '9']","4 Mar, 2025","[1, 0, 0]"
2252570,"['28', '18', '2']","6 Nov, 2023","[1, 1, 0]"
381210,['1'],"14 Jun, 2016","[1, 0, 0]"
359550,"['1', '37']","1 Dec, 2015","[1, 0, 0]"
440,"['1', '37']","10 Oct, 2007","[1, 0, 1]"
367520,"['1', '25', '23']","24 Feb, 2017","[1, 1, 1]"
230410,"['1', '3', '37']","25 Mar, 2013","[1, 0, 0]"
240,['1'],"1 Nov, 2004","[1, 0, 1]"
1086940,"['25', '3', '2']","3 Aug, 2023","[1, 1, 0]"
1091500,['3'],"9 Dec, 2020","[1, 1, 0]"
438100,"['25', '4', '29', '28', '18', '37', '70']","1 Feb, 2017","[1, 0, 0]"
394360,"['28', '2']","6 Jun, 2016","[1, 1, 1]"
2767030,"['1', '37']","5 Dec, 2024","[1, 0, 0]"
1973530,"['1', '3', '2']","26 Feb, 2023","[1, 0, 0]"
553850,['1'],"8 Feb, 2024","[1, 0, 0]"
1366800,"['1', '25', '23', '51', '53', '54', '55', '57', '60']","17 Aug, 2020","[1, 0, 0]"
289070,"['2']","20 Oct, 2016","[1, 1, 1]"
221100,"['1', '25', '29']","13 Dec, 2018","[1, 0, 0]"
1623730,"['1', '25', '23', '3', '70']","18 Jan, 2024","[1, 0, 0]"
2444750,"['1', '25', '23', '3']","10 Sep, 2025","[1, 0, 0]"
261550,"['1', '23', '3', '28', '2']","25 Oct, 2022","[1, 0, 0]"
2073620,"['1', '25', '29', '3', '2', '37']","15 Sep, 2025","[1, 0, 0]"
1174180,"['1', '25']","5 Dec, 2019","[1, 0, 0]"
1364780,"['1', '25']","1 Jun, 2023","[1, 0, 0]"
218620,"['1', '3']","13 Aug, 2013","[1, 0, 1]"
2357570,"['1', '37']","10 Aug, 2023","[1, 0, 0]"
294100,"['23', '28', '2']","17 Oct, 2018","[1, 1, 1]"
251570,"['1', '25', '23', '3', '28', '2']","25 Jul, 2024","[1, 1, 1]"
275850,"['1', '25']","12 Aug, 2016","[1, 1, 0]"
227300,"['23', '28']","12 Oct, 2012","[1, 1, 1]"
2669320,"['28', '18']","26 Sep, 2024","[1, 0, 0]"
1938090,['1'],"27 Oct, 2022","[1, 0, 0]"
1245620,"['1', '3']","24 Feb, 2022","[1, 0, 0]"
1422450,['1'],"1 Jan, 2026","[1, 0, 0]"
1281930,"['1', '25', '23', '3', '37']","16 May, 2020","[1, 1, 1]"
1260320,"['1', '4', '23']","20 Sep, 2023","[1, 0, 0]"
2139460,"['1', '25', '3', '28', '2', '37']","9 Jul, 2024","[1, 0, 0]"
552990,"['1', '29', '28', '2', '37']","15 Nov, 2017","[1, 0, 0]"
2358720,"['1', '25', '3']","19 Aug, 2024","[1, 0, 0]"
1222670,"['25', '4', '28', '37']","18 Jun, 2020","[1, 0, 0]"
1517290,"['1', '25', '4']","19 Nov, 2021","[1, 0, 0]"
1142710,"['1', '2']","16 Feb, 2022","[1, 1, 1]"
2584990,"['4', '3', '2', '37']","14 Jun, 2025","[1, 0, 0]"
892970,"['1', '25', '23', '3', '70']","2 Feb, 2021","[1, 1, 1]"
3527290,"['1', '25', '23']","16 Jun, 2025","[1, 0, 0]"
105600,"['1', '25', '23', '3']","16 May, 2011","[1, 1, 1]"
346110,"['1', '25', '23', '29', '3']","27 Aug, 2017","[1, 1, 0]"
1905180,"['57', '58']","14 Jul, 2014","[1, 1, 0]"
1771300,"['1', '25', '3']","4 Feb, 2025","[1, 0, 0]"
108600,"['23', '3', '28', '70']","8 Nov, 2013","[1, 1, 1]"
550,['1'],"16 Nov, 2009","[1, 0, 1]"
3241660,"['1', '70']","26 Feb, 2025","[1, 0, 0]"
2300320,['28'],"12 Nov, 2024","[1, 1, 0]"
250900,['1'],"4 Nov, 2014","[1, 1, 1]"
1449850,"['28', '2', '37']","18 Jan, 2022","[1, 0, 0]"
322170,"['1', '23']","22 Dec, 2014","[1, 1, 0]"
3472040,['18'],"4 Sep, 2025","[1, 0, 0]"
284160,"['9', '28', '70']","29 May, 2015","[1, 0, 0]"
2429640,"['1', '25', '29', '3', '37']","1 Oct, 2024","[1, 0, 0]"
1426210,"['1', '25']","25 Mar, 2021","[1, 0, 0]"
582660,"['1', '25', '29', '3', '2']","24 May, 2017","[1, 0, 0]"
1158310,"['3', '28', '2']","1 Sep, 2020","[1, 1, 1]"
2246340,"['1', '25', '3']","27 Feb, 2025","[1, 0, 0]"
766570,"['25', '4', '29', '3', '28', '18', '37']","10 Nov, 2021","[1, 0, 0]"
513710,"['1', '25', '23', '29']","17 Jun, 2025","[1, 0, 0]"
1325860,"['23', '51', '58']","12 Mar, 2021","[1, 1, 0]"
2878980,"['28', '18']","28 Oct, 2024","[1, 0, 0]"
3037410,"['25', '4', '23', '37']","15 Nov, 2024","[1, 0, 0]"
813780,['2'],"14 Nov, 2019","[1, 0, 0]"
489830,['3'],"27 Oct, 2016","[1, 0, 0]"
2399830,"['1', '25', '23', '29', '3', '70']","25 Oct, 2023","[1, 0, 0]"
526870,"['25', '23', '28', '2']","10 Sep, 2024","[1, 0, 0]"
4000,"['4', '23', '28']","29 Nov, 2006","[1, 1, 1]"
646570,"['23', '2']","23 Jan, 2019","[1, 1, 1]"
292030,['3'],"18 May, 2015","[1, 0, 0]"
3405340,"['1', '4', '23']","18 Sep, 2025","[1, 0, 1]"
1623660,"['1', '25', '29', '3', '37']","25 Aug, 2021","[1, 0, 0]"
281990,"['28', '2']","9 May, 2016","[1, 1, 1]"
1049590,"['23', '2', '37']","19 Jul, 2023","[1, 0, 0]"
1145360,"['1', '23', '3']","17 Sep, 2020","[1, 1, 0]"
1085660,"['1', '25', '37']","1 Oct, 2019","[1, 0, 0]"
629520,"['52', '57']","30 Sep, 2017","[1, 0, 0]"
2183900,"['1', '25', '3']","9 Sep, 2024","[1, 0, 0]"
582010,['1'],"8 Aug, 2018","[1, 0, 0]"
427520,"['4', '23', '28', '2']","14 Aug, 2020","[1, 1, 1]"
2073850,"['1', '37']","7 Dec, 2023","[1, 0, 0]"
1665460,"['28', '18', '37']","29 Sep, 2021","[1, 0, 0]"
236850,"['28', '2']","13 Aug, 2013","[1, 1, 1]"
594650,['1'],"27 Aug, 2019","[1, 0, 0]"
3513350,"['1', '25', '3', '37']","28 Apr, 2025","[1, 0, 0]"
365670,"['51', '53', '58']","2 Jan, 1994","[1, 1, 1]"
1172710,"['1', '25', '29', '3']","10 Jun, 2025","[1, 0, 0]"
8930,['2'],"23 Sep, 2010","[1, 1, 1]"
1407200,"['1', '29', '28', '37']","28 Apr, 2021","[1, 0, 0]"
3447040,['3'],"19 Sep, 2025","[1, 0, 0]"
393380,"['1', '23', '29', '2']","23 Sep, 2020","[1, 0, 0]"
3142050,"['1', '29', '3', '2', '37']","19 Sep, 2025","[1, 0, 0]"
1551360,"['1', '25', '9', '28', '18']","8 Nov, 2021","[1, 0, 0]"
39210,"['29', '3']","18 Feb, 2014","[1, 0, 0]"
1466860,['2'],"28 Oct, 2021","[1, 0, 0]"
2321470,['1'],"17 Sep, 2025","[1, 0, 0]"
1818450,"['1', '25', '29', '3', '37']","9 Dec, 2022","[1, 0, 0]"
1283970,"['51', '53', '54', '56', '57']","1 May, 2020","[1, 0, 0]"
3478050,"['25', '4', '23', '3', '28']","8 Sep, 2025","[1, 0, 0]"
377160,['3'],"9 Nov, 2015","[1, 0, 0]"
252950,"['1', '23', '9', '18']","6 Jul, 2015","[1, 0, 0]"
548430,['1'],"13 May, 2020","[1, 0, 0]"
255710,"['28', '2']","10 Mar, 2015","[1, 1, 1]"
739630,"['1', '23', '70']","18 Sep, 2020","[1, 0, 0]"
239140,"['1', '3']","26 Jan, 2015","[1, 1, 1]"
10,['1'],"1 Nov, 2000","[1, 1, 1]"
1454400,"['4', '23', '28', '2']","1 Sep, 2021","[1, 1, 0]"
2763740,"['4', '23', '28', '37']","1 May, 2025","[1, 0, 0]"
304930,"['1', '25', '4', '23', '37']","7 Jul, 2017","[1, 1, 1]"
1599340,"['1', '25', '29', '3', '37']","11 Feb, 2022","[1, 0, 0]"
1920960,"['4', '23', '3', '28', '37']","13 Aug, 2023","[1, 0, 0]"
3164500,"['1', '23', '28', '2', '70']","24 Mar, 2025","[1, 0, 0]"
107410,"['1', '28', '2']","12 Sep, 2013","[1, 1, 0]"
1568590,"['4', '23', '29', '2', '37']","3 Oct, 2021","[1, 1, 0]"
1063730,"['1', '25', '29', '3']","28 Sep, 2021","[1, 0, 0]"
2001120,"['1', '25']","6 Mar, 2025","[1, 0, 0]"
457140,"['23', '28']","30 Jul, 2019","[1, 1, 1]"
244210,"['23', '9', '28', '18']","19 Dec, 2014","[1, 0, 0]"
761890,"['29', '3', '37']","16 May, 2018","[1, 1, 1]"
1238840,"['1', '29']","11 Jun, 2020","[1, 0, 0]"
2707930,"['25', '4', '23', '3', '28', '37']","25 Mar, 2024","[1, 0, 0]"
2379780,"['4', '23', '2']","20 Feb, 2024","[1, 1, 0]"
534380,"['1', '25', '3']","3 Feb, 2022","[1, 0, 0]"
990080,"['1', '25', '3']","10 Feb, 2023","[1, 0, 0]"
2426960,"['3', '2', '37']","7 Jan, 2024","[1, 0, 0]"
1903340,"['1', '3']","24 Apr, 2025","[1, 0, 0]"
1238810,['1'],"22 Oct, 2020","[1, 0, 0]"
3061570,"['25', '3', '37']","25 Jun, 2025","[1, 0, 0]"
3231090,"['4', '28', '37']","4 Oct, 2024","[1, 0, 0]"
529340,"['28', '2']","25 Oct, 2022","[1, 1, 1]"
1476970,"['4', '23', '29', '3', '28', '37', '70']","2 Apr, 2021","[1, 0, 0]"
1248130,['28'],"21 Nov, 2021","[1, 1, 0]"
949230,['28'],"24 Oct, 2023","[1, 0, 0]"
2508780,"['4', '28']","27 Aug, 2025","[1, 0, 0]"
2452280,"['1', '29', '37']","1 Jul, 2025","[1, 0, 0]"
1942280,"['1', '4', '23', '3']","23 Jun, 2023","[1, 0, 0]"
216150,"['1', '25', '4', '29', '3', '37']","9 Aug, 2012","[1, 0, 0]"
3165720,[],"18 Sep, 2025","[1, 0, 0]"
291550,"['1', '23', '37']","17 Oct, 2017","[1, 1, 0]"
1874880,"['1', '28', '2']","16 Nov, 2023","[1, 0, 0]"
648800,"['25', '23', '28']","20 Jun, 2022","[1, 0, 0]"
1687950,['3'],"20 Oct, 2022","[1, 0, 0]"
2074920,"['1', '25', '3', '37']","30 Jun, 2024","[1, 0, 0]"
376210,"['1', '25', '23', '29', '28', '70']","1 Dec, 2015","[1, 0, 0]"
812140,"['1', '25', '3']","5 Oct, 2018","[1, 0, 0]"
960090,['2'],"17 Dec, 2018","[1, 1, 0]"
1203620,"['1', '25', '23', '3', '70']","24 Jan, 2024","[1, 0, 0]"
993090,['57'],"28 Dec, 2018","[1, 0, 0]"
2141910,"['2', '37']","23 May, 2023","[1, 0, 0]"
714010,"['1', '25', '4', '23', '28', '37']","16 Jun, 2023","[1, 0, 0]"
2709570,"['4', '23', '28', '37']","9 Aug, 2024","[1, 0, 0]"
3159330,"['1', '25', '3']","19 Mar, 2025","[1, 0, 0]"
814380,"['1', '25']","21 Mar, 2019","[1, 0, 0]"
1757300,"['1', '25', '23', '70']","19 Sep, 2025","[1, 0, 0]"
1151340,['3'],"14 Apr, 2020","[1, 0, 0]"
444200,"['1', '29', '28', '2', '37']","9 Nov, 2016","[1, 1, 0]"
899770,"['1', '25', '23', '3']","21 Feb, 2024","[1, 0, 0]"
779340,"['1', '2']","23 May, 2019","[1, 1, 1]"
1326470,"['1', '25', '23', '28']","22 Feb, 2024","[1, 0, 0]"
3659280,"['1', '29', '37']","17 Jul, 2025","[1, 0, 0]"
1468810,"['1', '25', '23', '3', '28']","26 May, 2023","[1, 0, 0]"
835570,"['1', '29', '3', '2', '37']","5 Apr, 2020","[1, 0, 0]"
2918500,"['25', '4', '23']","21 Sep, 2025","[1, 1, 0]"
397540,"['1', '3']","13 Mar, 2020","[1, 0, 0]"
238960,"['1', '25', '23', '29', '3', '37']","23 Oct, 2013","[1, 1, 0]"
3489700,"['1', '25', '3']","11 Jun, 2025","[1, 0, 0]"
1446780,['1'],"12 Jan, 2022","[1, 0, 0]"
