,appid,player_count,date
0,730,1099576,2025-09-22 21:24:15
1,570,752908,2025-09-22 21:24:44
2,578080,201705,2025-09-22 21:25:13
3,2507950,62398,2025-09-22 21:25:42
4,1172470,67599,2025-09-22 21:26:11
5,1030300,160228,2025-09-22 21:26:40
6,3419430,96776,2025-09-22 21:27:09
7,1203220,15134,2025-09-22 21:27:38
8,431960,56014,2025-09-22 21:28:08
9,1285190,145843,2025-09-22 21:28:37
10,2694490,118898,2025-09-22 21:29:06
11,2923300,93831,2025-09-22 21:29:35
12,252490,106829,2025-09-22 21:30:04
13,413150,48649,2025-09-22 21:30:33
14,3008130,71898,2025-09-22 21:31:02
15,218,101985,2025-09-22 21:31:31
16,271590,70553,2025-09-22 21:32:01
17,480,53781,2025-09-22 21:32:30
18,236390,57597,2025-09-22 21:32:59
19,2622380,27253,2025-09-22 21:33:28
20,322330,18773,2025-09-22 21:33:57
21,3354750,110186,2025-09-22 21:34:26
22,3240220,31087,2025-09-22 21:34:55
23,2252570,56230,2025-09-22 21:35:24
24,381210,54738,2025-09-22 21:35:53
25,359550,57792,2025-09-22 21:36:23
26,440,53078,2025-09-22 21:36:52
27,367520,48936,2025-09-22 21:37:21
28,230410,39355,2025-09-22 21:37:50
29,240,48130,2025-09-22 21:38:19
30,1086940,62489,2025-09-22 21:38:48
31,1091500,39431,2025-09-22 21:39:17
32,438100,38771,2025-09-22 21:39:46
33,394360,39192,2025-09-22 21:40:15
34,2767030,71403,2025-09-22 21:40:44
35,1973530,16273,2025-09-22 21:41:13
36,553850,55425,2025-09-22 21:41:42
37,1366800,47389,2025-09-22 21:42:12
38,289070,29987,2025-09-22 21:42:41
39,221100,56235,2025-09-22 21:43:10
40,1623730,23698,2025-09-22 21:43:39
41,2444750,17137,2025-09-22 21:44:08
42,261550,25904,2025-09-22 21:44:37
43,2073620,49324,2025-09-22 21:45:06
44,1174180,27424,2025-09-22 21:45:35
45,1364780,8343,2025-09-22 21:46:05
46,218620,30996,2025-09-22 21:46:34
47,2357570,35743,2025-09-22 21:47:03
48,294100,28650,2025-09-22 21:47:32
49,251570,26859,2025-09-22 21:48:01
50,275850,39465,2025-09-22 21:48:30
51,227300,34831,2025-09-22 21:48:59
52,2669320,25404,2025-09-22 21:49:28
53,1938090,44871,2025-09-22 21:49:58
54,1245620,20886,2025-09-22 21:50:27
55,1422450,,2025-09-22 21:50:56
56,1281930,16148,2025-09-22 21:51:25
57,1260320,4879,2025-09-22 21:51:54
58,2139460,17667,2025-09-22 21:52:24
59,552990,16343,2025-09-22 21:52:53
60,2358720,4990,2025-09-22 21:53:22
61,1222670,27401,2025-09-22 21:53:51
62,1517290,18288,2025-09-22 21:54:20
63,1142710,26677,2025-09-22 21:54:49
64,2584990,5994,2025-09-22 21:55:18
65,892970,37450,2025-09-22 21:55:47
66,3527290,26923,2025-09-22 21:56:16
67,105600,17284,2025-09-22 21:56:46
68,346110,16399,2025-09-22 21:57:15
