Age,M,F
0-4,351474675,331956329
5-9,356051100,334239227
10-14,341428651,319910512
15-19,323069454,303386393
20-24,312223295,293683502
25-29,310741533,293523883
30-34,310591888,295871305
35-39,280899073,270883237
40-44,249286453,243258861
45-49,239278676,236840746
50-54,220438496,221774287
55-59,190973815,196551781
60-64,155398716,165940828
65-69,126609082,142046146
70-74,88352430,104030797
75-79,55332466,70430941
80-84,34481251,50301188
85-89,16284226,28130380
90-94,5265971,11669257
95-99,956093,2954712
100+,91665,387962
