"Gemeenten","aantallen laadpunten per gemeente|September 2019|Regulier Publiek","aantallen laadpunten per gemeente|September 2019|Regulier Semi-publiek","aantallen laadpunten per gemeente|September 2019|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|December 2019|Regulier Publiek","aantallen laadpunten per gemeente|December 2019|Regulier Semi-publiek","aantallen laadpunten per gemeente|December 2019|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|March 2020|Regulier Publiek","aantallen laadpunten per gemeente|March 2020|Regulier Semi-publiek","aantallen laadpunten per gemeente|March 2020|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|June 2020|Regulier Publiek","aantallen laadpunten per gemeente|June 2020|Regulier Semi-publiek","aantallen laadpunten per gemeente|June 2020|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|September 2020|Regulier Publiek","aantallen laadpunten per gemeente|September 2020|Regulier Semi-publiek","aantallen laadpunten per gemeente|September 2020|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|December 2020|Regulier Publiek","aantallen laadpunten per gemeente|December 2020|Regulier Semi-publiek","aantallen laadpunten per gemeente|December 2020|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|March 2021|Regulier Publiek","aantallen laadpunten per gemeente|March 2021|Regulier Semi-publiek","aantallen laadpunten per gemeente|March 2021|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|June 2021|Regulier Publiek","aantallen laadpunten per gemeente|June 2021|Regulier Semi-publiek","aantallen laadpunten per gemeente|June 2021|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|September 2021|Regulier Publiek","aantallen laadpunten per gemeente|September 2021|Regulier Semi-publiek","aantallen laadpunten per gemeente|September 2021|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|December 2021|Regulier Publiek","aantallen laadpunten per gemeente|December 2021|Regulier Semi-publiek","aantallen laadpunten per gemeente|December 2021|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|March 2022|Regulier Publiek","aantallen laadpunten per gemeente|March 2022|Regulier Semi-publiek","aantallen laadpunten per gemeente|March 2022|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|June 2022|Regulier Publiek","aantallen laadpunten per gemeente|June 2022|Regulier Semi-publiek","aantallen laadpunten per gemeente|June 2022|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|September 2022|Regulier Publiek","aantallen laadpunten per gemeente|September 2022|Regulier Semi-publiek","aantallen laadpunten per gemeente|September 2022|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|December 2022|Regulier Publiek","aantallen laadpunten per gemeente|December 2022|Regulier Semi-publiek","aantallen laadpunten per gemeente|December 2022|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|March 2023|Regulier Publiek","aantallen laadpunten per gemeente|March 2023|Regulier Semi-publiek","aantallen laadpunten per gemeente|March 2023|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|June 2023|Regulier Publiek","aantallen laadpunten per gemeente|June 2023|Regulier Semi-publiek","aantallen laadpunten per gemeente|June 2023|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|September 2023|Regulier Publiek","aantallen laadpunten per gemeente|September 2023|Regulier Semi-publiek","aantallen laadpunten per gemeente|September 2023|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|December 2023|Regulier Publiek","aantallen laadpunten per gemeente|December 2023|Regulier Semi-publiek","aantallen laadpunten per gemeente|December 2023|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|March 2024|Regulier Publiek","aantallen laadpunten per gemeente|March 2024|Regulier Semi-publiek","aantallen laadpunten per gemeente|March 2024|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|June 2024|Regulier Publiek","aantallen laadpunten per gemeente|June 2024|Regulier Semi-publiek","aantallen laadpunten per gemeente|June 2024|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|September 2024|Regulier Publiek","aantallen laadpunten per gemeente|September 2024|Regulier Semi-publiek","aantallen laadpunten per gemeente|September 2024|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|December 2024|Regulier Publiek","aantallen laadpunten per gemeente|December 2024|Regulier Semi-publiek","aantallen laadpunten per gemeente|December 2024|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|March 2025|Regulier Publiek","aantallen laadpunten per gemeente|March 2025|Regulier Semi-publiek","aantallen laadpunten per gemeente|March 2025|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|June 2025|Regulier Publiek","aantallen laadpunten per gemeente|June 2025|Regulier Semi-publiek","aantallen laadpunten per gemeente|June 2025|Snellaadpunten (>50 kW)","aantallen laadpunten per gemeente|August 2025|Regulier Publiek","aantallen laadpunten per gemeente|August 2025|Regulier Semi-publiek","aantallen laadpunten per gemeente|August 2025|Snellaadpunten (>50 kW)"
"Aa en Hunze",2,15,"",2,15,"",2,5,"",2,9,"",2,9,"",3,12,"",2,14,"",2,15,"",12,15,"",22,39,"",22,40,2,36,44,2,38,50,2,37,42,2,46,59,2,46,60,2,46,61,10,46,50,12,44,53,12,47,61,12,53,60,12,58,68,12,42,57,12,68,87,14,74,56,12
"Aalsmeer",110,72,"",116,79,"",120,67,"",128,75,"",144,74,"",152,69,"",148,79,"",154,102,"",174,102,"",178,107,"",183,134,"",205,116,"",213,114,"",211,136,"",187,197,"",175,214,2,176,224,3,243,160,10,282,195,6,298,223,10,297,223,10,317,210,18,275,245,22,301,220,18,301,247,18
"Aalten",6,8,"",6,7,"",6,7,"",14,15,"",16,15,"",20,9,"",22,15,"",22,12,"",22,10,"",62,12,"",62,12,"",62,23,"",68,22,"",70,39,2,70,54,1,70,58,1,64,72,5,92,35,7,100,32,7,96,38,8,96,42,6,97,44,6,99,88,8,116,80,8,105,87,8
"Achtkarspelen",8,8,"",8,8,"",8,4,"",8,4,"",12,3,"",12,5,"",12,5,"",12,5,"",16,5,"",14,10,"",12,5,"",16,4,"",18,3,"",32,9,4,36,13,4,40,16,4,44,13,6,47,10,6,59,10,6,54,14,6,56,14,6,56,18,6,46,32,8,47,29,6,61,32,10
"Alblasserdam",36,14,2,36,13,2,37,10,2,36,10,2,36,12,2,42,11,2,38,23,2,46,21,8,46,21,12,57,23,10,58,32,14,58,38,10,61,36,14,60,43,14,58,42,14,52,42,14,54,49,14,62,45,14,62,57,16,64,76,18,64,71,22,68,77,12,58,98,12,59,99,12,59,101,12
"Albrandswaard",74,31,2,80,32,2,86,18,2,86,20,2,88,20,3,89,20,3,92,22,7,94,33,8,110,28,8,108,29,7,110,31,8,116,31,6,128,33,6,130,31,6,148,49,6,155,51,5,175,51,5,203,39,5,217,52,5,255,57,5,267,38,5,285,69,1,292,105,"",306,102,6,318,96,6
"Alkmaar",256,252,"",234,262,4,359,185,7,372,185,7,424,169,7,442,170,6,477,214,14,489,222,16,525,240,16,556,228,16,566,240,21,614,244,22,642,274,21,674,280,21,713,321,27,733,360,20,687,407,25,803,355,25,798,366,19,842,422,27,856,406,35,855,423,39,909,467,44,896,499,48,940,483,47
"Almelo",16,86,"",30,82,"",42,73,"",48,77,"",53,77,2,54,84,2,54,107,2,52,119,4,52,112,4,64,112,4,64,140,4,64,161,4,66,184,4,65,205,9,82,239,7,111,231,7,135,239,8,149,192,17,167,199,16,189,216,24,193,208,24,229,246,24,204,275,24,208,243,26,200,298,26
"Almere",389,246,2,370,284,6,418,230,6,457,235,6,519,201,2,565,222,4,612,260,4,640,260,8,760,256,8,891,281,8,994,289,8,1127,272,9,1154,312,9,1221,346,14,1255,492,14,1343,494,16,1421,459,19,1519,419,19,1603,440,22,1664,522,28,1691,657,52,1761,714,60,1813,841,57,1793,878,58,1896,887,58
"Alphen aan den Rijn",302,127,1,322,130,1,338,118,1,355,165,2,430,121,6,515,130,7,561,141,7,589,148,7,619,152,7,622,151,3,640,178,7,682,183,6,702,178,8,750,205,6,735,312,8,707,382,7,674,476,8,916,235,11,993,247,13,894,275,16,1032,282,16,1042,361,16,1055,286,14,1086,318,11,1110,319,8
"Alphen-Chaam",3,4,"",5,3,"",7,10,"",7,10,"",7,10,"",9,10,"",9,8,"",9,8,"",9,14,"",11,17,"",13,17,"",12,19,"",10,23,"",20,25,"",20,25,"",20,36,"",22,38,"",26,32,"",32,40,"",34,42,"",35,45,"",35,20,"",32,28,"",35,26,"",32,32,""
"Altena",46,40,2,50,39,2,60,27,2,64,33,2,72,34,2,74,40,14,83,40,18,86,44,18,86,40,16,86,43,16,96,45,18,99,41,18,109,54,20,110,65,21,113,99,19,119,130,7,125,150,19,181,74,19,185,85,19,192,101,20,192,107,22,207,118,24,176,226,24,178,308,24,176,313,22
"Ameland",6,10,"",6,10,"",6,1,"",6,2,"",6,4,"",6,10,"",6,16,"",6,14,"",4,17,"",10,10,"",10,10,"",6,14,"",5,24,"",7,28,"",7,34,"",9,38,"",12,42,"",12,42,"",13,52,"",16,52,"",14,55,"",14,45,"","",72,"","",75,"","",76,""
"Amersfoort",388,237,4,414,255,4,438,240,4,480,277,4,613,228,8,671,305,13,722,397,12,738,375,16,762,452,17,794,444,18,814,464,19,873,451,15,888,503,22,927,553,22,884,638,31,851,703,36,787,877,42,1076,686,44,1109,739,46,905,763,45,1129,723,46,1177,793,68,1187,1018,58,1236,1114,54,1175,972,62
"Amstelveen",346,135,8,336,149,8,378,135,8,408,151,8,517,250,"",622,174,8,651,260,8,670,258,7,732,253,6,743,295,8,743,303,8,765,287,6,761,376,6,790,410,5,749,558,6,741,575,7,666,718,7,997,426,7,1087,406,7,1170,430,8,1086,526,5,1077,579,11,1115,551,8,1161,560,8,1170,550,8
